[2020-10-28T10:51:02.884+0800][0.016s][16528][7964][info][gc,heap] Heap region size: 2M
[2020-10-28T10:51:02.984+0800][0.116s][16528][7964][info][gc     ] Using G1
[2020-10-28T10:51:02.984+0800][0.116s][16528][7964][info][gc,heap,coops] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[2020-10-28T10:51:03.862+0800][0.995s][16528][11296][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:03.863+0800][0.995s][16528][11296][info][gc,task      ] GC(0) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:03.881+0800][1.013s][16528][11296][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:03.886+0800][1.018s][16528][11296][info][gc,phases    ] GC(0)   Evacuate Collection Set: 16.3ms
[2020-10-28T10:51:03.886+0800][1.018s][16528][11296][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 1.3ms
[2020-10-28T10:51:03.886+0800][1.018s][16528][11296][info][gc,phases    ] GC(0)   Other: 0.9ms
[2020-10-28T10:51:03.886+0800][1.019s][16528][11296][info][gc,heap      ] GC(0) Eden regions: 102->0(89)
[2020-10-28T10:51:03.886+0800][1.019s][16528][11296][info][gc,heap      ] GC(0) Survivor regions: 0->13(13)
[2020-10-28T10:51:03.886+0800][1.019s][16528][11296][info][gc,heap      ] GC(0) Old regions: 0->24
[2020-10-28T10:51:03.886+0800][1.019s][16528][11296][info][gc,heap      ] GC(0) Humongous regions: 0->0
[2020-10-28T10:51:03.886+0800][1.019s][16528][11296][info][gc,metaspace ] GC(0) Metaspace: 16336K->16336K(1064960K)
[2020-10-28T10:51:03.886+0800][1.019s][16528][11296][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 203M->72M(4096M) 23.980ms
[2020-10-28T10:51:03.886+0800][1.019s][16528][11296][info][gc,cpu       ] GC(0) User=0.06s Sys=0.03s Real=0.02s
[2020-10-28T10:51:03.928+0800][1.061s][16528][11296][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:03.928+0800][1.061s][16528][11296][info][gc,task      ] GC(1) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,phases    ] GC(1)   Evacuate Collection Set: 20.0ms
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.9ms
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,phases    ] GC(1)   Other: 0.2ms
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,heap      ] GC(1) Eden regions: 89->0(89)
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,heap      ] GC(1) Survivor regions: 13->13(13)
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,heap      ] GC(1) Old regions: 24->56
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,heap      ] GC(1) Humongous regions: 0->0
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc,metaspace ] GC(1) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:03.949+0800][1.082s][16528][11296][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 250M->137M(4096M) 21.356ms
[2020-10-28T10:51:03.950+0800][1.082s][16528][11296][info][gc,cpu       ] GC(1) User=0.08s Sys=0.05s Real=0.02s
[2020-10-28T10:51:03.980+0800][1.112s][16528][11296][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:03.980+0800][1.112s][16528][11296][info][gc,task      ] GC(2) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.005+0800][1.137s][16528][11296][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,phases    ] GC(2)   Evacuate Collection Set: 24.0ms
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.9ms
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,phases    ] GC(2)   Other: 0.3ms
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,heap      ] GC(2) Eden regions: 89->0(89)
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,heap      ] GC(2) Survivor regions: 13->13(13)
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,heap      ] GC(2) Old regions: 56->91
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,heap      ] GC(2) Humongous regions: 0->0
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,metaspace ] GC(2) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 315M->206M(4096M) 25.575ms
[2020-10-28T10:51:04.005+0800][1.138s][16528][11296][info][gc,cpu       ] GC(2) User=0.13s Sys=0.11s Real=0.03s
[2020-10-28T10:51:04.039+0800][1.171s][16528][11296][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.039+0800][1.171s][16528][11296][info][gc,task      ] GC(3) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.060+0800][1.193s][16528][11296][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,phases    ] GC(3)   Evacuate Collection Set: 20.7ms
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 0.6ms
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,phases    ] GC(3)   Other: 0.4ms
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,heap      ] GC(3) Eden regions: 89->0(89)
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,heap      ] GC(3) Survivor regions: 13->13(13)
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,heap      ] GC(3) Old regions: 91->127
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,heap      ] GC(3) Humongous regions: 0->0
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc,metaspace ] GC(3) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.061+0800][1.193s][16528][11296][info][gc           ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 384M->279M(4096M) 21.981ms
[2020-10-28T10:51:04.061+0800][1.194s][16528][11296][info][gc,cpu       ] GC(3) User=0.05s Sys=0.06s Real=0.02s
[2020-10-28T10:51:04.091+0800][1.224s][16528][11296][info][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.091+0800][1.224s][16528][11296][info][gc,task      ] GC(4) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,phases    ] GC(4)   Evacuate Collection Set: 22.4ms
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 0.6ms
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,phases    ] GC(4)   Other: 0.2ms
