[2020-10-28T10:50:17.874+0800][0.017s][1964][3712][info][gc,heap] Heap region size: 1M
[2020-10-28T10:50:17.928+0800][0.071s][1964][3712][info][gc     ] Using G1
[2020-10-28T10:50:17.928+0800][0.071s][1964][3712][info][gc,heap,coops] Heap address: 0x0000000080000000, size: 2048 MB, Compressed Oops mode: 32-bit
[2020-10-28T10:50:18.780+0800][0.923s][1964][9088][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:18.781+0800][0.924s][1964][9088][info][gc,task      ] GC(0) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,phases    ] GC(0)   Evacuate Collection Set: 8.0ms
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 1.7ms
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,phases    ] GC(0)   Other: 0.9ms
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,heap      ] GC(0) Eden regions: 102->0(89)
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,heap      ] GC(0) Survivor regions: 0->13(13)
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,heap      ] GC(0) Old regions: 0->20
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,heap      ] GC(0) Humongous regions: 41->20
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc,metaspace ] GC(0) Metaspace: 16367K->16367K(1064960K)
[2020-10-28T10:50:18.791+0800][0.934s][1964][9088][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 142M->52M(2048M) 11.123ms
[2020-10-28T10:50:18.791+0800][0.935s][1964][9088][info][gc,cpu       ] GC(0) User=0.11s Sys=0.02s Real=0.01s
[2020-10-28T10:50:18.827+0800][0.970s][1964][9088][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:18.827+0800][0.970s][1964][9088][info][gc,task      ] GC(1) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,phases    ] GC(1)   Evacuate Collection Set: 11.9ms
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.9ms
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,phases    ] GC(1)   Other: 0.2ms
